DEPT,DVER,BDIA,ROPA,HKLA,HKLX,WOBA,TQA,TQX,RPMA,RPMB,SPPA,TVA,MFIA,MFOA,MDIA,MDOA,MTIA,MTOA,ECDT,BDTI,BDDI,BRVC,TCTI,FPPG,DXC,GASX,HSX,MTHA,ETHA,PRPA,IBTA,NBTA,IPNA,NPNA,C1C2,C1C3,C1C4,C1C5,LITH
192,192.0,36.0,19.85,33.48,None,1.8,8.21,None,None,69.0,62.0,None,2779.1,None,None,None,69.0,None,None,6.39,47.06,7.43,8.72,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
193,193.0,36.0,17.77,33.45,None,1.83,8.38,None,None,69.0,62.0,None,2779.1,None,None,None,69.0,None,None,6.53,48.06,7.66,8.91,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
194,194.0,36.0,15.31,33.36,None,1.92,6.99,None,None,69.14,62.0,None,2779.32,None,None,None,69.14,None,None,6.67,49.06,7.93,9.09,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
195,195.0,36.0,19.1,33.33,None,1.95,6.52,None,None,69.0,62.0,None,2779.48,None,None,None,69.0,None,None,6.8,50.06,8.15,9.28,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
196,196.0,36.0,17.2,33.33,None,1.95,6.52,None,None,69.0,62.0,None,2779.48,None,None,None,69.0,None,None,6.94,51.06,8.39,9.46,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
197,197.0,36.0,16.9,33.33,None,1.95,6.52,None,None,69.0,61.0,None,2779.48,None,None,None,69.0,None,None,7.07,52.06,8.63,9.65,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
198,198.0,36.0,18.3,33.33,None,1.95,6.52,None,None,69.0,61.0,None,2779.48,None,None,None,69.0,None,None,7.21,53.06,8.86,9.84,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
199,199.0,36.0,17.2,33.33,None,1.95,6.52,None,None,69.0,61.0,None,2779.48,None,None,None,69.0,None,None,7.35,54.06,9.1,10.02,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
200,200.0,36.0,16.08,33.33,None,1.95,6.52,None,None,69.0,61.0,None,2779.48,None,None,None,69.0,None,None,7.48,55.06,9.36,10.21,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
201,201.0,36.0,18.5,33.33,None,1.95,6.52,None,None,69.0,61.0,None,2779.48,None,None,None,69.0,None,None,7.62,56.06,9.58,10.39,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
202,202.0,36.0,17.2,33.33,None,1.95,6.52,None,None,69.0,62.0,None,2779.48,None,None,None,69.0,None,None,7.75,57.05,9.82,10.58,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
203,203.0,36.0,17.7,33.33,None,1.95,6.52,None,None,69.0,62.0,None,2779.48,None,None,None,69.0,None,None,7.89,58.05,10.06,10.76,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
204,204.0,36.0,16.08,33.39,None,1.89,7.34,None,None,69.0,62.0,None,2794.4,None,None,None,69.0,None,None,8.03,59.05,10.31,10.95,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
205,205.0,36.0,16.59,32.97,None,2.31,8.42,None,None,69.0,63.0,None,2809.31,None,None,None,69.0,None,None,8.16,60.05,10.56,11.14,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
206,206.0,36.0,19.5,33.06,None,2.22,9.97,None,None,68.83,63.0,None,2809.31,None,None,None,68.83,None,None,8.3,61.05,10.78,11.32,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
207,207.0,36.0,20.1,33.1,None,2.18,9.47,None,None,69.0,64.0,None,2809.31,None,None,None,69.0,None,None,8.43,62.05,10.98,11.51,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
208,208.0,36.0,18.52,32.99,None,2.29,11.33,None,None,69.0,64.0,None,2809.31,None,None,None,69.0,None,None,8.57,63.05,11.21,11.69,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
209,209.0,36.0,25.82,33.21,None,2.07,5.64,None,None,68.83,64.0,None,2809.31,None,None,None,68.83,None,None,8.71,64.05,11.37,11.88,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
210,210.0,36.0,22.23,33.25,None,2.03,3.98,None,None,69.14,64.0,None,2809.31,None,None,None,69.14,None,None,8.84,65.05,11.55,12.06,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
211,211.0,36.0,20.7,33.19,None,2.1,3.86,None,None,69.0,64.0,None,2809.31,None,None,None,69.0,None,None,8.98,66.05,11.75,12.25,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
212,212.0,36.0,17.06,32.68,None,2.6,7.61,None,None,69.0,65.0,None,2809.31,None,None,None,69.0,None,None,9.11,67.04,11.99,12.43,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
213,213.0,36.0,19.75,32.85,None,2.43,7.64,None,None,69.0,65.0,None,2809.31,None,None,None,69.0,None,None,9.25,68.04,12.2,12.62,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
214,214.0,36.0,19.58,32.8,None,2.48,11.26,None,None,69.0,65.0,None,2928.56,None,None,None,69.0,None,None,9.39,69.04,12.42,12.81,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
215,215.0,36.0,15.98,32.67,None,2.61,13.08,None,None,69.14,65.0,None,3020.76,None,None,None,69.14,None,None,9.52,70.04,12.68,12.99,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
216,216.0,36.0,17.6,32.68,None,2.6,12.79,None,None,69.0,65.0,None,3020.76,None,None,None,69.0,None,None,9.66,71.04,12.91,13.18,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
217,217.0,36.0,21.51,32.89,None,2.39,10.75,None,None,69.0,65.0,None,3020.76,None,None,None,69.0,None,None,9.79,72.04,13.1,13.36,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
